session_id,user_id,date,feature_used
524532,1,2024-01-21,"pharmacy"
865885,1,2024-05-17,"pharmacy"
914394,1,2024-05-15,"diagnostics"
534535,1,2024-03-12,"diagnostics"
481018,1,2024-05-23,"consult"
139148,1,2024-03-27,"browse"
552958,2,2024-05-29,"browse"
911352,2,2024-06-03,"browse"
255745,2,2024-04-18,"browse"
278496,2,2024-01-26,"browse"
438866,2,2024-04-16,"consult"
55904,2,2024-01-30,"consult"
522247,2,2024-02-07,"consult"
266320,2,2024-04-17,"consult"
185922,2,2024-06-22,"pharmacy"
493406,2,2024-03-12,"diagnostics"
904890,2,2024-02-15,"browse"
904610,3,2024-02-08,"browse"
721202,3,2024-01-04,"consult"
423759,3,2024-03-17,"browse"
350386,3,2024-05-12,"diagnostics"
771812,3,2024-01-20,"browse"
859299,3,2024-02-03,"pharmacy"
490092,3,2024-05-05,"browse"
666933,3,2024-06-10,"diagnostics"
286608,3,2024-05-12,"consult"
966289,3,2024-02-22,"pharmacy"
966727,3,2024-06-21,"consult"
468239,3,2024-01-13,"browse"
682561,3,2024-02-16,"diagnostics"
601516,4,2024-06-13,"pharmacy"
409909,4,2024-01-06,"pharmacy"
381059,4,2024-03-26,"diagnostics"
776934,5,2024-06-10,"diagnostics"
702726,5,2024-05-10,"diagnostics"
957664,5,2024-01-02,"pharmacy"
757071,5,2024-06-01,"browse"
148430,5,2024-01-24,"diagnostics"
357470,5,2024-05-21,"pharmacy"
28365,5,2024-05-13,"pharmacy"
4369,6,2024-01-20,"diagnostics"
836048,7,2024-02-09,"diagnostics"
171955,7,2024-02-01,"browse"
378824,7,2024-01-27,"pharmacy"
473267,7,2024-04-06,"diagnostics"
31817,7,2024-01-17,"consult"
973283,7,2024-03-21,"pharmacy"
739443,7,2024-01-23,"pharmacy"
42311,7,2024-05-20,"diagnostics"
470328,7,2024-05-27,"pharmacy"
164334,7,2024-06-28,"diagnostics"
787560,7,2024-06-11,"diagnostics"
48929,7,2024-02-02,"pharmacy"
796240,7,2024-06-21,"diagnostics"
808157,7,2024-03-27,"diagnostics"
83576,8,2024-03-18,"pharmacy"
271142,8,2024-01-18,"browse"
188869,8,2024-06-08,"consult"
566695,8,2024-01-27,"pharmacy"
464736,8,2024-02-08,"pharmacy"
109367,8,2024-04-16,"diagnostics"
641774,8,2024-01-13,"pharmacy"
494775,8,2024-02-25,"pharmacy"
911848,8,2024-01-28,"browse"
400966,8,2024-06-17,"diagnostics"
499555,8,2024-02-10,"browse"
284931,9,2024-06-06,"browse"
712787,9,2024-02-15,"browse"
61086,9,2024-03-28,"diagnostics"
508889,9,2024-03-17,"pharmacy"
267446,9,2024-06-20,"consult"
715612,9,2024-01-20,"pharmacy"
276383,9,2024-06-26,"diagnostics"
42103,9,2024-01-25,"browse"
88771,9,2024-01-21,"pharmacy"
796966,9,2024-01-15,"consult"
803621,9,2024-06-24,"browse"
797399,9,2024-03-12,"browse"
380815,10,2024-04-27,"browse"
449058,10,2024-05-24,"consult"
757496,10,2024-04-08,"browse"
716764,10,2024-05-19,"diagnostics"
279087,10,2024-01-22,"diagnostics"
534398,11,2024-06-25,"browse"
278606,11,2024-05-08,"pharmacy"
446015,11,2024-01-08,"pharmacy"
706584,11,2024-04-03,"diagnostics"
79794,11,2024-01-15,"pharmacy"
784326,11,2024-05-01,"diagnostics"
768103,11,2024-02-07,"browse"
504434,11,2024-02-08,"pharmacy"
855824,12,2024-05-14,"pharmacy"
670951,12,2024-02-08,"browse"
270114,12,2024-02-20,"diagnostics"
817187,12,2024-03-04,"diagnostics"
19416,12,2024-04-14,"consult"
128145,12,2024-05-28,"browse"
64,12,2024-01-08,"browse"
404271,12,2024-03-25,"diagnostics"
946931,12,2024-03-25,"diagnostics"
195346,12,2024-01-23,"diagnostics"
3889,12,2024-06-27,"diagnostics"
965730,12,2024-04-13,"browse"
744809,13,2024-04-21,"consult"
273139,13,2024-06-17,"browse"
952458,13,2024-03-20,"diagnostics"
299260,14,2024-06-28,"diagnostics"
571952,14,2024-06-14,"diagnostics"
14407,14,2024-01-07,"pharmacy"
866525,14,2024-03-17,"pharmacy"
542166,14,2024-06-05,"pharmacy"
448636,14,2024-03-24,"consult"
250396,14,2024-04-23,"diagnostics"
999529,14,2024-05-10,"consult"
524252,15,2024-06-21,"browse"
626517,15,2024-04-26,"consult"
346113,15,2024-04-22,"diagnostics"
222129,15,2024-03-05,"browse"
600243,15,2024-02-06,"browse"
686874,15,2024-06-23,"diagnostics"
350434,15,2024-05-13,"browse"
229164,15,2024-06-20,"diagnostics"
659089,16,2024-04-29,"consult"
324888,16,2024-01-27,"diagnostics"
860587,16,2024-04-15,"consult"
759774,16,2024-02-13,"diagnostics"
257571,16,2024-05-26,"pharmacy"
716696,16,2024-06-07,"consult"
695763,16,2024-06-13,"diagnostics"
146444,16,2024-02-10,"browse"
110401,16,2024-03-25,"consult"
503575,16,2024-02-13,"pharmacy"
310625,16,2024-02-29,"consult"
199041,16,2024-02-25,"pharmacy"
754965,16,2024-03-21,"browse"
764742,17,2024-01-16,"consult"
336940,17,2024-03-05,"diagnostics"
384325,17,2024-05-27,"diagnostics"
101611,17,2024-04-10,"consult"
189913,17,2024-05-19,"pharmacy"
666205,17,2024-02-11,"diagnostics"
59332,17,2024-05-12,"consult"
479898,17,2024-01-28,"pharmacy"
170458,17,2024-04-25,"consult"
450281,17,2024-05-28,"consult"
506357,17,2024-04-01,"browse"
406521,17,2024-02-27,"diagnostics"
240310,17,2024-03-21,"pharmacy"
949656,18,2024-03-17,"consult"
915672,18,2024-03-12,"consult"
912133,18,2024-01-23,"browse"
844445,18,2024-02-23,"diagnostics"
419230,19,2024-05-13,"diagnostics"
816460,19,2024-01-12,"pharmacy"
653761,19,2024-02-22,"diagnostics"
177398,19,2024-02-05,"consult"
790555,19,2024-05-29,"pharmacy"
718598,19,2024-01-15,"browse"
747146,19,2024-01-24,"diagnostics"
86978,19,2024-01-30,"pharmacy"
168769,19,2024-03-01,"pharmacy"
685352,19,2024-03-22,"diagnostics"
392619,19,2024-04-04,"diagnostics"
667481,20,2024-05-19,"pharmacy"
43016,20,2024-02-17,"consult"
892724,20,2024-02-09,"diagnostics"
449303,20,2024-04-17,"consult"
126206,20,2024-02-02,"diagnostics"
650060,20,2024-02-23,"consult"
307248,20,2024-03-18,"browse"
286640,20,2024-04-11,"pharmacy"
3515,20,2024-04-12,"pharmacy"
22873,20,2024-06-08,"consult"
593358,20,2024-05-28,"pharmacy"
641501,20,2024-02-29,"pharmacy"
184972,20,2024-05-31,"pharmacy"
414546,21,2024-04-20,"browse"
369432,21,2024-02-19,"pharmacy"
12875,22,2024-03-24,"diagnostics"
735901,22,2024-01-30,"pharmacy"
6457,22,2024-04-03,"consult"
927325,22,2024-02-26,"pharmacy"
758947,22,2024-03-04,"consult"
160353,22,2024-01-16,"browse"
759129,23,2024-03-12,"pharmacy"
594206,23,2024-03-06,"browse"
876611,23,2024-02-24,"browse"
832890,23,2024-06-16,"consult"
868859,23,2024-01-25,"diagnostics"
289604,23,2024-04-11,"pharmacy"
466727,23,2024-02-07,"pharmacy"
267014,23,2024-06-06,"browse"
853906,23,2024-02-04,"browse"
101536,23,2024-06-09,"pharmacy"
490533,23,2024-05-17,"consult"
978459,23,2024-04-09,"pharmacy"
929167,23,2024-05-03,"consult"
150619,23,2024-04-06,"pharmacy"
269182,24,2024-01-15,"browse"
855938,24,2024-02-12,"diagnostics"
802914,24,2024-01-14,"pharmacy"
558236,24,2024-05-11,"pharmacy"
222322,24,2024-05-19,"pharmacy"
32400,24,2024-02-04,"browse"
873993,24,2024-04-21,"pharmacy"
101096,24,2024-06-19,"consult"
884750,24,2024-06-11,"browse"
617300,25,2024-03-25,"consult"
686779,25,2024-06-20,"browse"
614134,25,2024-01-05,"diagnostics"
785608,25,2024-04-26,"pharmacy"
