user_id,signup_date,city,acquisition_channel
1,2024-04-12,Delhi,referral
2,2024-06-28,Delhi,organic
3,2024-04-02,Pune,google_ads
4,2024-01-15,Delhi,organic
5,2024-04-16,Delhi,meta_ads
6,2024-03-12,Mumbai,referral
7,2024-01-21,Pune,meta_ads
8,2024-04-12,Delhi,google_ads
9,2024-05-01,Delhi,organic
10,2024-03-15,Pune,google_ads
11,2024-03-28,Chennai,meta_ads
12,2024-04-26,Pune,referral
13,2024-04-09,Mumbai,referral
14,2024-04-13,Chennai,google_ads
15,2024-05-31,Bangalore,google_ads
16,2024-05-10,Pune,organic
17,2024-05-29,Mumbai,meta_ads
18,2024-02-22,Chennai,google_ads
19,2024-01-02,Pune,organic
20,2024-03-28,Delhi,google_ads
21,2024-06-06,Pune,referral
22,2024-02-07,Bangalore,organic
23,2024-05-09,Pune,organic
24,2024-01-21,Chennai,google_ads
25,2024-06-09,Chennai,meta_ads
26,2024-02-27,Pune,referral
27,2024-01-22,Chennai,meta_ads
28,2024-03-29,Delhi,organic
29,2024-02-18,Pune,meta_ads
30,2024-02-28,Delhi,organic
31,2024-06-18,Delhi,meta_ads
32,2024-01-15,Mumbai,google_ads
33,2024-06-23,Pune,meta_ads
34,2024-02-20,Chennai,organic
35,2024-04-17,Delhi,referral
36,2024-02-24,Mumbai,referral
37,2024-03-04,Pune,referral
38,2024-05-10,Pune,organic
39,2024-02-20,Bangalore,meta_ads
40,2024-05-14,Bangalore,referral
41,2024-01-21,Delhi,referral
42,2024-03-13,Bangalore,referral
43,2024-06-15,Delhi,google_ads
44,2024-01-18,Chennai,organic
45,2024-05-11,Delhi,organic
46,2024-03-29,Bangalore,organic
47,2024-02-29,Chennai,organic
48,2024-01-14,Bangalore,organic
49,2024-01-09,Delhi,google_ads
50,2024-03-30,Mumbai,meta_ads
51,2024-02-22,Pune,google_ads
52,2024-05-09,Bangalore,referral
53,2024-03-24,Delhi,google_ads
54,2024-04-01,Chennai,organic
55,2024-04-20,Bangalore,google_ads
56,2024-06-20,Bangalore,organic
57,2024-01-08,Pune,google_ads
58,2024-06-23,Delhi,organic
59,2024-02-04,Mumbai,referral
60,2024-03-21,Chennai,organic
61,2024-06-12,Delhi,google_ads
62,2024-02-19,Chennai,referral
63,2024-04-13,Bangalore,google_ads
64,2024-05-11,Pune,referral
65,2024-01-02,Pune,meta_ads
66,2024-05-13,Mumbai,meta_ads
67,2024-02-23,Pune,meta_ads
68,2024-04-15,Bangalore,google_ads
69,2024-01-04,Mumbai,google_ads
70,2024-02-23,Delhi,referral
